entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link
52,hsa:7040 hsa:7042 hsa:7043,7040;7042;7043,gene,327.0,117.0,46.0,17.0,#BFFFBF,#000000,TGFB1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7040+hsa:7042+hsa:7043
53,hsa:4089,4089,gene,327.0,177.0,46.0,17.0,#BFFFBF,#000000,SMAD4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4089
54,hsa:4087 hsa:4088,4087;4088,gene,327.0,160.0,46.0,17.0,#BFFFBF,#000000,SMAD2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4087+hsa:4088
55,hsa:8317,8317,gene,532.0,609.0,46.0,17.0,#BFFFBF,#000000,CDC7,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:8317
56,path:hsa04120,hsa04120,map,977.0,399.0,76.0,71.0,#FFFFFF,#000000,Ubiquitin mediated proteolysis,roundrectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa04120
57,hsa:991,991,gene,919.0,314.0,46.0,17.0,#BFFFBF,#000000,CDC20,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:991
58,hsa:994 hsa:995,994;995,gene,830.0,402.0,46.0,17.0,#BFFFBF,#000000,CDC25B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:994+hsa:995
59,hsa:8318,8318,gene,553.0,528.0,46.0,17.0,#BFFFBF,#000000,CDC45,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:8318
60,hsa:990,990,gene,494.0,528.0,46.0,17.0,#BFFFBF,#000000,CDC6,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:990
61,hsa:993,993,gene,614.0,402.0,46.0,17.0,#BFFFBF,#000000,CDC25A,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:993
62,hsa:2932,2932,gene,170.0,167.0,46.0,17.0,#BFFFBF,#000000,GSK3B,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:2932
63,hsa:983,983,gene,689.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:983
64,hsa:85417 hsa:891 hsa:9133,85417;891;9133,gene,780.0,451.0,46.0,17.0,#BFFFBF,#000000,CCNB3,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:85417+hsa:891+hsa:9133
65,hsa:890 hsa:8900,890;8900,gene,689.0,451.0,46.0,17.0,#BFFFBF,#000000,CCNA2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:890+hsa:8900
66,hsa:1022,1022,gene,552.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK7,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1022
67,hsa:1017,1017,gene,457.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1017
68,hsa:1017,1017,gene,335.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1017
69,hsa:1019 hsa:1021,1019;1021,gene,227.0,468.0,46.0,17.0,#BFFFBF,#000000,CDK4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1019+hsa:1021
70,hsa:902,902,gene,552.0,451.0,46.0,17.0,#BFFFBF,#000000,CCNH,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:902
71,hsa:890 hsa:8900,890;8900,gene,457.0,451.0,46.0,17.0,#BFFFBF,#000000,CCNA2,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:890+hsa:8900
72,hsa:898 hsa:9134,898;9134,gene,335.0,451.0,46.0,17.0,#BFFFBF,#000000,CCNE1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:898+hsa:9134
73,hsa:595 hsa:894 hsa:896,595;894;896,gene,227.0,451.0,46.0,17.0,#BFFFBF,#000000,CCND1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:595+hsa:894+hsa:896
74,path:hsa04010,hsa04010,map,95.0,264.0,56.0,125.0,#FFFFFF,#000000,MAPK signaling pathway,roundrectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa04010
75,path:hsa04110,hsa04110,map,98.0,58.0,115.0,25.0,#FFFFFF,#000000,TITLE:Cell cycle,roundrectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa04110
76,hsa:8379,8379,gene,830.0,231.0,46.0,17.0,#BFFFBF,#000000,MAD1L1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:8379
79,hsa:7272,7272,gene,830.0,181.0,46.0,17.0,#BFFFBF,#000000,TTK,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7272
80,hsa:1031,1031,gene,304.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN2C,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1031
81,hsa:1032,1032,gene,352.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN2D,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1032
82,hsa:1029,1029,gene,208.0,313.0,46.0,17.0,#BFFFBF,#000000,CDKN2A,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1029
83,hsa:9126,9126,gene,941.0,117.0,46.0,17.0,#BFFFBF,#000000,SMC3,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:9126
