entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link,glyph_class,clone_marker,compartment
TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,process,1890.8797190938433,826.3642546985834,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,process,1991.0217640952633,831.4705345667223,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,process,1761.8424266089232,353.73972676282335,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT,ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT,ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT,process,2324.5385409477135,1394.2651427179032,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,process,2320.0144066829534,1079.1352139912133,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT,ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT,ComplexAssembly_35ad0c8d1de2e3545a59d0af77644e9b_LEFT_TO_RIGHT,process,2467.1724702069237,1212.7519587044633,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,process,2154.9463157087134,657.5323591186434,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_1d2646c0f175f2bb5988c7e313c68305_LEFT_TO_RIGHT,process,2034.5841107362533,1054.8988627147032,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,ComplexAssembly_a4b52932755d405f3b35bb96c22bbc04_LEFT_TO_RIGHT,process,1929.9248492290533,531.5051604730734,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,dense_core_granule
Complex_33b98f178303ceef166819f17daaed43,Complex (amine translocator/epinephrine),Complex (amine translocator/epinephrine),gene,1119.55536411378,1206.25584133332,81.0,113.75,#FFFFFF,#000000,Complex (amine translocator/epinephrine),octagon,"","",1,"",complex,false,cytosol
SmallMolecule_80910e7b27a1c71cb89e71508781c018_Complex_33b98f178303ceef166819f17daaed43,epinephrine,epinephrine,compound,1104.55536411378,1174.88084133332,40.0,40.0,#FFFFFF,#000000,epinephrine,circle,"",Complex_33b98f178303ceef166819f17daaed43,1,"",simple chemical,false,cytosol
Protein_5c961955c35b50fc71bc700df9cedc2e_Complex_33b98f178303ceef166819f17daaed43,amine translocator,amine translocator,gene,1119.55536411378,1230.63084133332,70.0,40.0,#FFFFFF,#000000,amine translocator,roundrectangle,"",Complex_33b98f178303ceef166819f17daaed43,1,"",macromolecule,false,cytosol
Protein_df07a65aa8c4d5b103e43486b6fd967d,TH,TH,gene,246.877202937425,727.005393339428,70.0,40.0,#FFFFFF,#000000,TH,roundrectangle,"","",1,"",macromolecule,false,cytosol
Protein_76137db58b37ef9d06406f5542675a9b,DBH,DBH,gene,634.627240231139,1358.25765935343,70.0,40.0,#FFFFFF,#000000,DBH,roundrectangle,"","",1,"",macromolecule,false,cytosol
Complex_867b13ae34975010d2b52ab1ef9dcd3d,Complex (NET/norepinephrine),Complex (NET/norepinephrine),gene,458.399489267012,1124.40080518599,81.0,148.5,#FFFFFF,#000000,Complex (NET/norepinephrine),octagon,"","",1,"",complex,false,cytosol
Protein_95dabb069120f0edda63969415cb5aa8_Complex_867b13ae34975010d2b52ab1ef9dcd3d,NET,NET,gene,458.399489267012,1075.65080518599,70.0,40.0,#FFFFFF,#000000,NET,roundrectangle,"",Complex_867b13ae34975010d2b52ab1ef9dcd3d,1,"",macromolecule,false,cytosol
SmallMolecule_d940e98dc125de9769cb048e3c5c9da0_Complex_867b13ae34975010d2b52ab1ef9dcd3d,norepinephrine,norepinephrine,compound,443.399489267012,1124.40080518599,40.0,40.0,#FFFFFF,#000000,norepinephrine,circle,"",Complex_867b13ae34975010d2b52ab1ef9dcd3d,1,"",simple chemical,false,cytosol
SmallMolecule_b5035595d63ba5ee9d3ffc9715208d8b_Complex_867b13ae34975010d2b52ab1ef9dcd3d,Na+,Na+,compound,443.399489267012,1173.15080518599,40.0,40.0,#FFFFFF,#000000,Na+,circle,"",Complex_867b13ae34975010d2b52ab1ef9dcd3d,1,"",simple chemical,false,cytosol
SmallMolecule_6bb24765bd3b62eaf6395a38028f05ac,DOPA,DOPA,compound,266.37578566034404,436.764052108814,40.0,40.0,#FFFFFF,#000000,DOPA,circle,"","",1,"",simple chemical,false,cytosol
SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267,norepinephrine,norepinephrine,compound,723.603121102342,1152.31836066959,40.0,40.0,#FFFFFF,#000000,norepinephrine,circle,"","",1,"",simple chemical,false,cytosol
Protein_b734927c10297d1db3f9bc290d7a06b5,SLC6A3,SLC6A3,gene,558.108121223252,783.156398151928,70.0,40.0,#FFFFFF,#000000,SLC6A3,roundrectangle,"","",1,"",macromolecule,false,cytosol
SmallMolecule_96737c854fd379b17cb3b7715570b733,tyrosine,tyrosine,compound,131.0,569.747957233398,40.0,40.0,#FFFFFF,#000000,tyrosine,circle,"","",1,"",simple chemical,false,cytosol
SmallMolecule_db0211694be3283c6b1fb217c8f331ac,epinephrine,epinephrine,compound,913.66558875444,1140.12491522484,40.0,40.0,#FFFFFF,#000000,epinephrine,circle,"","",1,"",simple chemical,false,cytosol
SmallMolecule_1001e1fb13025a56e761165c244fc5ac,Na+,Na+,compound,467.863886013634,958.747432613309,40.0,40.0,#FFFFFF,#000000,Na+,circle,"","",1,"",simple chemical,false,cytosol
Protein_095f54d1d22526b62115de28706b23f0,amine translocator,amine translocator,gene,1107.31047861833,1031.7159225682499,70.0,40.0,#FFFFFF,#000000,amine translocator,roundrectangle,"","",1,"",macromolecule,false,cytosol
SmallMolecule_979edf9da186165cf66b8b8c3b9a5910,dopamine,dopamine,compound,311.074667110666,887.835488478029,40.0,40.0,#FFFFFF,#000000,dopamine,circle,"","",1,"",simple chemical,false,cytosol
Protein_78ba18c5ad71491fadbf87a2024002c5,PNMT,PNMT,gene,839.01266515691,1361.36962767099,70.0,40.0,#FFFFFF,#000000,PNMT,roundrectangle,"","",1,"",macromolecule,false,cytosol
Protein_ef666e393918c05a3451b9106e520495,NET,NET,gene,684.289197246102,953.954326344229,70.0,40.0,#FFFFFF,#000000,NET,roundrectangle,"","",1,"",macromolecule,false,cytosol
Complex_11851c2240a559a2fcd9de61d553684c,Complex (DAT/dopamine),Complex (DAT/dopamine),gene,406.598153640845,689.435256233317,81.0,148.5,#FFFFFF,#000000,Complex (DAT/dopamine),octagon,"","",1,"",complex,false,cytosol
SmallMolecule_3f81745113f608903d171ff01cfa8122_Complex_11851c2240a559a2fcd9de61d553684c,dopamine,dopamine,compound,391.598153640845,640.685256233317,40.0,40.0,#FFFFFF,#000000,dopamine,circle,"",Complex_11851c2240a559a2fcd9de61d553684c,1,"",simple chemical,false,cytosol
Protein_822718f4659f95fbc0a536c3473d449f_Complex_11851c2240a559a2fcd9de61d553684c,SLC6A3,SLC6A3,gene,406.598153640845,689.435256233317,70.0,40.0,#FFFFFF,#000000,SLC6A3,roundrectangle,"",Complex_11851c2240a559a2fcd9de61d553684c,1,"",macromolecule,false,cytosol
SmallMolecule_56f09c468e70c3c092028beb323e5382_Complex_11851c2240a559a2fcd9de61d553684c,Na+,Na+,compound,391.598153640845,738.185256233317,40.0,40.0,#FFFFFF,#000000,Na+,circle,"",Complex_11851c2240a559a2fcd9de61d553684c,1,"",simple chemical,false,cytosol
BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,BiochemicalReaction_7201bb44fa7d006ca5dd43abddbab696_LEFT_TO_RIGHT,process,673.5830726654883,1233.5606624248833,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,process,420.7032875711084,814.6215931164794,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,ComplexAssembly_b8face33cf53aec710ab780a205dc41f_LEFT_TO_RIGHT,process,1005.3275575473654,973.5180224589724,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT,ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT,ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT,process,767.7280788438294,900.4073131458024,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT,TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT,process,912.3465573767314,988.9168574281324,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,BiochemicalReaction_1e0105e2c882c9789a992aefb627d739_LEFT_TO_RIGHT,process,816.0108279526584,1218.7541336070233,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,process,995.9826306099363,1217.5291428341732,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,process,591.6928816085134,1033.3963574880333,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,process,655.0104310342614,721.5236940682224,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,BiochemicalReaction_c3500f153fa8c4c5885a2637f3891878_LEFT_TO_RIGHT,process,243.89448900572734,584.2074802868394,26.6666666666667,26.6666666666667,#FFFFFF,#000000,"",square,"","",1,"",process,false,cytosol
stamp,SBGNhub Pathway Collection,SBGNhub Pathway Collection,gene,266.38391368735904,1480.6498296089064,492.767827374718,54.7519808194131,#FFFFFF,#000000,SBGNhub Pathway Collection,roundrectangle,"","",1,"",macromolecule,false,""
