gene_set,set_size,stat_mean,p_geomean,p_val,q_val,effect
hsa04512 ECM-receptor interaction,85,1.4710445347351733,0.5334445272873672,0.9999998613904219,1.0,0.46201764705882353
hsa04620 Toll-like receptor signaling pathway,100,1.467889080935088,0.5423214792133737,0.999999910289757,1.0,0.4353254615384615
hsa04210 Apoptosis,87,1.4769955728817572,0.7153899806199755,0.9999999346344761,1.0,0.43132033598585323
hsa03018 RNA degradation,64,1.5104945185303411,0.802818251033931,0.9999999613030027,1.0,0.4715193509615385
hsa04914 Progesterone-mediated oocyte maturation,85,1.5840821208268634,0.8664260037147546,0.9999999926782615,1.0,0.45709963800904974
hsa04145 Phagosome,146,1.6357060188105146,0.31215327767337503,0.9999999955602025,1.0,0.4027685985247629
hsa04114 Oocyte meiosis,109,1.6095464131848938,0.8405251089577868,0.9999999959149279,1.0,0.4418345800988003
hsa04062 Chemokine signaling pathway,183,1.6547010826399149,0.28292887730521016,0.9999999977296575,1.0,0.4104024800336276
hsa04650 Natural killer cell mediated cytotoxicity,126,1.6520197973119153,0.37870964740216195,0.9999999979490487,1.0,0.4211897435897436
hsa04660 T cell receptor signaling pathway,107,1.6762845766625913,0.654366523666159,0.9999999988211149,1.0,0.42618598130841123
hsa04621 NOD-like receptor signaling pathway,56,1.7520814890537382,0.7242736637449532,0.9999999997142027,1.0,0.5740225274725274
hsa04120 Ubiquitin mediated proteolysis,131,1.7657414578572739,0.9027114661648059,0.9999999998750603,1.0,0.41520622431004106
hsa04670 Leukocyte transendothelial migration,114,1.8312344591011405,0.6311096684903804,0.9999999999566931,1.0,0.493422334682861
hsa04380 Osteoclast differentiation,125,1.878357258506821,0.4380342970669744,0.9999999999800413,1.0,0.4431941538461538
hsa03420 Nucleotide excision repair,43,2.020114902007922,0.9026490660719264,0.9999999999993991,1.0,0.605945259391771
hsa03440 Homologous recombination,26,2.167501389260727,0.9279005809377457,0.9999999999999655,1.0,0.7503381656804733
hsa04612 Antigen processing and presentation,61,2.202636286473349,0.3183407789457357,0.9999999999999708,1.0,0.6126921815889029
hsa04115 p53 signaling pathway,65,2.1323544253341646,0.8560627374057789,0.9999999999999791,1.0,0.6798592899408283
hsa03430 Mismatch repair,23,2.298772454805275,0.907646676298193,0.9999999999999981,1.0,0.839760535117057
hsa03410 Base excision repair,33,2.3773463240678705,0.8917944340003825,0.9999999999999999,1.0,0.7558111888111887
hsa00240 Pyrimidine metabolism,94,2.3820793301785845,0.9017254855492336,1.0,1.0,0.5724626841243864
hsa03008 Ribosome biogenesis in eukaryotes,69,2.805996357423031,0.9066002049181492,1.0,1.0,0.6366002229654402
hsa03013 RNA transport,144,2.733672259656104,0.8542080010460417,1.0,1.0,0.5024938568376068
hsa03030 DNA replication,36,3.7818511477015977,0.9205584044154382,1.0,1.0,1.0437576923076923
hsa03040 Spliceosome,123,3.500402568500905,0.9531471565541142,1.0,1.0,0.5983031269543464
hsa03050 Proteasome,43,3.4545942547373945,0.9848088162895592,1.0,1.0,0.8605713774597495
hsa04110 Cell cycle,124,4.662963090980158,0.927284286252531,1.0,1.0,0.8699511786600497
